ID	Q1	Q2	Q3A	Q3B	Q3_ETC	Q4	Q5A	Q5B	Q5C	Q5D	Q5E	Q5F	Q5G	Q6A	Q6B	Q7	Q8	Q9A	Q9B	Q9C	Q9D	Q9E	Q9F	Q9G	Q9_ETC	Q10	Q11	Q12A	Q12B	Q13	Q14	Q15	Q16	Q17
211	2	1	9	9		2	5	5	5	5	5	5	5	9	5	1	1	1	0	0	0	0	0	0		1	1	2	8	1	2	5	1	
212	2	3	1	2		1	4	4	3	5	3	5	4	3	4	1	1	1	0	0	0	0	0	0		2	1	7	0	8	2	5	12	
213	2	1	9	9		2	9	9	9	9	9	9	9	9	9	3	9	0	0	0	0	0	0	0		2	3	2	5	9	1	4	15	
214	1	2	2	1		2	9	9	9	9	9	9	9	1	1	3	9	0	0	0	0	0	0	0		3	1	1	10	6	2	5	1	
215	2	2	1	2		1	4	4	3	9	9	9	9	3	4	2	2	1	0	0	0	0	0	0		2	1	2	5	5	2	4	10	
216	2	2	1	2		1	5	4	4	4	4	4	5	4	4	2	1	1	0	0	0	0	0	0		1	1	2	6	4	1	1	14	
217	1	1	2	3		1	5	5	5	5	5	4	5	5	3	1	1	0	0	0	0	0	0	0		1	1	3	0	7	2	5	1	
218	1	1	1	5		1	2	9	9	9	9	4	9	2	3	1	1	1	0	0	0	0	0	0		1	1	1	9	9	1	5	3	
219	1	3	1	2		1	3	4	4	4	3	4	3	2	4	1	3	1	0	0	0	0	0	0		2	1	2	0	3	1	4	1	
220	1	3	1	2		2	3	3	3	3	3	3	3	5	5	2	2	1	0	0	0	0	0	0		1	2	2	6	4	2	4	12	
221	2	3	1	6		1	5	3	4	3	5	3	4	5	3	1	1	1	0	0	0	0	0	0		2	1	1	10	5	2	4	1	
222	1	2	1	6		1	5	9	5	9	9	5	5	3	9	1	2	1	0	0	0	0	0	0		1	1	2	7	5	1	3	13	
223	1	2	1	6		1	9	3	9	3	9	3	9	3	3	2	2	1	0	0	0	0	0	0		2	1	2	5	7	2	4	2	
224	1	3	1	2		1	5	5	5	5	5	2	5	3	5	1	1	0	1	0	0	1	0	0		1	1	3	0	4	1	2	1	
225	2	2	2	1		2	3	3	3	9	3	3	3	4	4	1	3	0	0	0	0	0	0	0		1	1	1	4	8	2	4	1	
226	2	3	1	3		1	9	5	9	9	9	9	5	3	2	1	9	1	0	0	0	0	0	0		1	1	2	7	8	2	4	1	
227	2	4	1	4		1	5	9	3	5	4	5	5	4	4	1	2	1	0	0	0	0	0	0		2	1	3	0	4	2	3	7	
228	2	3	2	1		1	4	9	4	4	4	4	4	3	4	1	3	0	0	0	0	0	0	0		2	1	3	4	1	1	2	2	
229	1	2	1	9		2	5	2	3	3	3	4	3	9	3	2	3	1	0	0	0	0	0	0		2	2	0	3	8	1	5	1	
230	2	2	1	9		2	4	9	3	9	3	9	3	3	3	2	2	1	0	0	0	0	0	0		2	3	4	3	5	1	2	1	
231	1	1	1	6		2	4	4	4	4	4	4	4	4	4	2	2	1	0	0	0	0	0	0		2	1	0	10	4	1	1	1	
232	2	2	1	3		1	5	5	5	5	5	5	5	2	5	1	1	1	0	0	0	0	0	0		1	1	2	0	1	2	5	1	
233	2	2	1	2		1	4	3	4	4	4	4	4	1	4	3	3	1	0	0	0	0	0	0		2	1	1	0	8	2	4	1	
234	2	4	2	1		1	5	5	3	5	4	5	4	4	4	1	2	1	0	0	0	0	0	0		2	1	1	0	7	1	5	5	
235	2	2	6	9		2	9	9	9	9	9	9	9	9	9	3	3	1	0	0	0	0	0	0		9	2	2	0	6	2	4	13	
236	1	1	1	3		1	5	5	5	5	5	5	5	1	4	1	1	1	0	0	0	0	0	0		2	1	4	0	9	1	5	1	
237	2	1	1	2		1	5	5	5	5	4	4	4	3	4	1	1	1	0	0	0	0	0	0		1	1	2	7	4	1	5	1	
238	2	2	1	2		1	4	9	4	9	4	3	4	2	3	2	2	0	0	0	0	0	0	0		2	3	2	5	8	2	4	1	
239	1	1	3	2		1	5	5	5	5	5	5	5	5	5	1	1	1	0	0	0	0	0	0		1	1	1	9	3	2	4	1	
240	1	2	1	2		1	4	4	4	4	3	4	3	3	4	2	1	0	0	0	0	0	0	0		3	1	0	0	8	1	5	9	
241	1	2	1	5		2	4	4	4	4	2	3	3	3	3	2	1	1	0	0	0	0	0	0		2	1	1	3	4	1	1	1	
242	1	2	2	1		2	3	9	2	9	4	9	9	3	4	1	2	0	0	0	0	0	0	0		2	1	1	1	7	1	4	1	
243	1	1	1	2		1	5	5	5	5	3	5	5	1	5	1	1	1	0	0	0	0	0	0		1	2	3	0	8	2	5	9	
244	1	3	2	1		2	4	3	3	9	3	9	4	2	3	1	3	1	0	0	0	0	0	0		1	1	2	7	1	2	2	1	
245	2	2	1	2		1	5	3	1	4	4	1	9	3	2	1	2	1	0	0	0	0	0	0		1	1	3	0	7	2	5	1	
246	1	1	3	6		1	9	3	9	9	9	9	5	5	9	1	1	0	0	1	0	0	0	0		1	1	0	5	5	1	3	3	
247	1	1	1	2		1	5	5	3	4	3	4	4	1	4	1	9	1	0	0	0	0	0	0		2	1	1	10	6	2	4	1	
248	2	1	2	1		1	5	5	5	5	5	5	5	5	5	1	1	1	0	0	0	0	0	0		1	1	3	0	8	1	4	1	
249	1	1	1	2		1	5	5	5	5	5	4	4	4	4	1	1	1	0	0	0	0	0	0		2	1	0	7	8	2	5	3	
250	1	1	1	3		1	5	5	5	5	5	5	4	1	1	1	2	1	0	0	0	0	0	0		2	1	0	3	3	2	4	9	
251	2	2	1	2		2	4	5	5	5	3	4	4	3	4	2	1	1	0	0	0	0	0	0		2	1	1	2	9	1	4	1	
252	1	1	2	1		2	5	4	3	4	3	4	3	2	3	1	1	1	0	0	0	0	0	0		4	1	2	7	7	1	9	17	
253	1	1	2	1		2	4	4	4	4	2	4	3	4	4	1	2	1	0	0	0	0	0	0		1	1	5	0	8	2	4	2	
254	1	1	1	2		1	5	5	9	5	5	5	5	4	5	1	1	1	0	0	0	0	0	0		1	1	3	0	9	1	4	17	
255	1	1	2	1		2	1	2	2	1	2	9	1	5	9	1	2	1	0	0	0	0	0	0		1	1	2	7	8	2	5	1	
256	2	1	2	1		2	4	4	4	4	4	4	4	5	4	1	2	0	0	0	0	0	0	0		2	1	1	8	8	2	5	5	
257	2	1	1	2		1	5	5	5	9	9	5	5	5	5	2	1	1	0	0	0	0	0	0		1	3	2	6	8	2	5	11	
258	1	1	1	3		1	5	3	5	3	5	3	5	9	9	1	2	1	0	0	0	0	0	0		2	1	1	6	8	2	5	6	
259	2	1	1	2		1	5	9	5	9	5	9	5	3	5	1	1	0	0	0	0	0	0	0		1	1	3	4	6	2	4	1	
260	1	1	1	4		2	5	4	5	4	4	4	3	4	4	2	2	1	0	0	0	0	0	0		1	1	1	9	3	1	3	1	
261	1	1	1	2		1	5	5	5	5	5	4	5	4	5	1	1	1	0	0	0	0	0	0		2	2	1	3	8	1	4	14	
262	2	1	1	2		1	4	5	4	5	4	5	4	3	4	2	2	1	0	0	0	0	0	0		2	1	2	7	3	2	2	1	
263	2	1	1	4		1	5	5	5	4	5	4	5	2	5	1	3	1	0	0	0	0	0	0		1	1	20	0	3	2	3	1	
264	2	1	1	3		2	5	2	3	2	3	2	3	1	3	2	1	1	0	0	0	0	0	0		3	1	2	0	1	1	2	5	
265	2	1	2	1		1	5	4	5	4	5	3	5	3	5	1	2	1	0	0	0	0	0	0		1	1	10	0	8	2	5	8	
266	1	2	1	4		1	4	3	4	3	4	3	4	3	3	2	2	1	0	0	0	0	0	0		1	1	1	3	4	2	5	1	
267	2	3	1	4		1	5	9	2	5	4	5	5	2	4	1	1	1	0	0	0	0	0	0		2	1	3	1	2	1	3	1	
268	2	3	9	9		1	4	5	2	5	1	5	5	2	2	1	1	1	0	0	0	0	0	0		1	1	1	1	8	2	5	1	
269	2	1	1	9		1	5	5	5	5	5	5	5	4	5	1	1	1	0	0	0	0	0	0		1	1	1	6	5	2	5	1	
270	2	2	1	2		2	5	5	5	5	5	5	5	2	4	2	1	0	0	0	0	1	0	0		3	1	0	0	9	2	9	16	
271	1	2	1	2		1	4	3	5	3	3	3	4	4	4	1	3	0	0	0	0	0	1	0		2	2	4	3	6	2	2	5	
272	1	1	2	1		1	5	5	5	3	3	2	4	3	4	1	2	1	0	0	0	0	0	0		2	1	1	5	5	2	3	14	
273	1	1	2	1		1	5	5	5	5	5	5	4	2	5	1	2	0	0	0	0	0	0	0		1	1	2	0	7	1	5	1	
274	1	2	1	2		1	9	9	9	9	9	9	9	4	4	1	4	0	0	0	0	0	0	0		2	1	0	10	4	2	4	14	
275	2	2	1	5		1	4	9	4	5	4	5	4	4	4	2	3	1	0	0	0	0	0	0		1	1	2	7	7	2	4	4	
276	1	3	2	1		1	5	3	3	5	9	2	5	4	5	1	3	0	1	0	0	0	0	0		1	1	4	0	8	2	5	2	
277	1	2	4	5		3	5	5	5	5	5	5	5	4	5	1	1	0	0	0	0	0	0	0		1	1	2	8	8	2	4	3	
278	1	2	1	2		1	5	3	5	5	4	5	5	4	4	1	2	1	0	0	0	0	0	0		1	1	3	4	8	2	5	10	
279	2	1	1	2		2	1	5	1	5	2	5	2	1	4	1	1	1	0	0	0	0	0	0		2	1	10	8	1	2	2	1	
280	2	2	1	2		2	4	5	4	9	4	9	4	3	3	2	2	1	0	0	0	0	0	0		2	3	4	3	4	2	5	1	
281	2	1	1	3		1	5	5	5	3	4	5	4	4	4	1	2	1	0	0	0	0	0	0		3	1	5	0	3	1	2	1	
282	2	4	2	1		1	4	9	2	4	3	4	3	1	3	2	2	1	0	0	0	0	0	0		2	2	4	0	3	2	2	2	
283	2	3	7	9	심리적 안정	1	5	5	5	5	5	5	5	5	5	1	1	1	0	0	0	0	0	0		1	1	5	0	9	1	5	1	
284	1	1	1	2		1	5	9	4	5	4	5	4	3	4	1	2	1	0	0	0	0	0	0		2	1	2	5	6	2	5	2	
285	1	1	2	1		1	5	3	5	4	5	4	5	5	5	1	1	1	0	0	0	0	0	0		1	1	1	0	8	1	5	2	
286	1	1	1	2		1	5	9	5	5	9	9	5	5	9	1	1	1	0	0	0	0	0	0		1	1	2	7	6	2	5	1	
287	1	2	1	6		1	5	3	3	3	3	3	5	5	5	1	2	1	0	0	0	0	0	0		1	2	12	1	5	2	5	1	
288	2	1	1	2		1	5	5	5	5	5	4	5	5	5	1	1	1	0	0	0	0	0	0		2	1	0	4	8	2	5	1	
289	2	1	1	2		1	5	5	5	5	4	5	4	2	3	1	2	1	0	0	0	0	0	0		2	2	1	8	6	2	3	1	
290	2	4	1	2		1	5	9	2	5	4	4	4	2	4	1	2	1	0	0	0	0	0	0		2	2	6	0	4	1	4	3	
291	2	1	1	3		1	5	4	5	5	4	4	5	3	4	1	1	1	0	0	0	0	0	0		1	1	1	2	7	1	5	3	
292	1	4	2	1		1	4	9	2	5	3	4	3	2	3	2	2	1	0	0	0	0	0	0		2	2	10	0	8	2	5	12	
293	2	1	2	3		1	5	4	4	4	3	4	3	3	4	1	2	1	0	0	0	0	0	0		1	1	1	10	5	1	1	17	
294	1	1	1	3		1	5	5	5	5	5	5	5	5	5	1	1	1	0	0	0	0	0	0		1	1	2	7	7	2	5	1	
295	2	2	1	3		1	4	5	3	5	5	5	5	3	5	2	2	1	0	0	0	0	0	0		2	3	2	6	3	2	9	7	
296	1	2	1	6		1	5	5	5	5	3	5	5	1	5	2	1	1	0	0	0	0	0	0		1	1	0	6	4	1	5	1	
297	2	1	1	2		2	5	3	5	3	5	3	3	5	5	2	1	1	0	0	0	0	0	0		3	1	3	0	8	2	4	10	
298	1	1	1	2		1	4	5	4	5	3	5	3	5	5	1	1	1	0	0	0	0	0	0		1	1	1	9	8	2	5	1	
299	1	4	1	3		1	3	3	3	3	3	3	3	3	3	1	3	1	0	0	0	0	0	0		2	1	2	0	7	2	5	1	
300	1	2	1	2		1	4	9	9	9	9	5	9	9	5	2	2	0	0	0	0	0	0	0		1	1	1	11	8	1	4	12	
301	1	2	6	2		2	5	4	5	4	4	3	4	3	3	3	1	1	0	0	0	0	0	0		4	3	7	0	2	1	3	1	
302	2	2	1	2		1	5	9	3	4	4	4	5	1	3	1	1	1	0	0	0	0	0	0		4	2	2	0	2	2	2	1	
303	2	4	1	6		2	4	3	3	2	3	2	3	2	2	3	3	1	0	0	0	0	0	0		3	2	1	0	8	2	5	1	
304	1	4	2	3		1	4	9	2	5	3	4	4	3	3	1	2	1	0	0	0	0	0	0		1	1	13	0	8	1	4	1	
305	1	3	1	9		2	4	5	4	5	4	5	4	4	4	1	3	0	0	0	0	0	0	0		2	1	1	0	3	2	2	2	
306	2	1	1	5		1	5	5	5	5	5	5	5	5	5	1	1	1	0	0	0	0	0	0		2	1	1	10	1	1	4	1	
307	2	3	1	2		1	5	9	2	5	4	5	4	4	3	1	1	1	0	0	0	0	0	0		1	1	6	0	7	2	4	6	
308	2	1	1	2		1	5	5	5	9	5	5	5	4	4	1	1	1	0	0	0	0	0	0		1	1	1	9	6	1	5	14	
309	1	1	1	6		2	5	5	3	5	3	5	4	3	5	1	1	1	0	0	0	0	0	0		1	1	2	2	5	2	5	1	
310	2	2	1	2		1	5	5	5	5	5	5	5	5	5	2	1	1	0	0	0	0	0	0		2	1	2	7	8	2	5	4	
311	2	2	6	4		2	3	3	3	3	4	3	4	3	3	1	2	1	0	0	0	0	0	0		2	2	1	9	7	2	5	1	
312	2	1	2	3		1	4	5	5	5	3	4	4	2	3	1	4	1	0	0	0	0	0	0		1	1	3	10	4	1	3	1	
313	2	2	2	1		1	5	9	9	9	9	9	9	5	5	1	1	1	0	0	0	0	0	0		1	1	2	8	7	1	4	2	
314	2	3	1	2		2	1	2	1	3	1	3	1	3	4	2	3	0	0	1	0	0	0	0		2	2	1	10	8	2	4	13	
315	1	2	1	2		1	5	5	5	5	5	5	5	4	5	2	2	1	0	0	0	0	0	0		2	2	3	9	8	1	4	1	
316	2	3	2	1		1	5	9	9	9	5	5	5	3	4	1	2	1	0	0	0	0	0	0		2	1	4	3	5	2	3	4	
317	2	2	2	6		1	5	5	5	4	4	4	5	4	5	1	1	1	0	0	0	0	0	0		1	1	1	11	3	1	5	1	
318	1	1	1	3		2	1	5	3	5	3	3	1	1	3	1	2	1	0	0	0	0	0	0		2	1	3	0	8	1	4	10	
319	1	2	2	9		1	9	2	3	2	9	2	9	9	4	1	3	0	0	0	0	0	0	0		9	1	12	0	8	2	4	1	
320	2	1	2	1		1	9	3	9	3	9	3	9	4	4	1	2	1	0	0	0	0	0	0		4	1	6	2	7	2	4	3	
321	2	2	6	2		2	5	9	4	9	5	3	3	3	4	2	3	1	0	0	0	0	0	0		2	1	1	2	4	1	3	5	
322	1	1	9	9		1	2	1	5	1	4	1	5	4	5	1	2	1	0	0	0	0	0	0		1	2	2	9	8	2	5	1	
323	1	1	1	2		1	4	5	4	4	4	4	5	4	5	1	1	1	0	0	0	0	0	0		1	1	6	7	7	1	5	6	
324	2	2	6	5		1	3	3	3	3	3	3	3	1	1	2	3	1	0	0	0	0	0	0		1	3	3	4	5	2	5	1	
325	1	1	1	2		1	5	5	5	5	4	4	5	4	5	1	1	1	0	0	0	0	0	0		1	1	1	10	8	1	5	4	
326	2	1	1	5		2	5	5	5	5	4	5	4	4	4	1	2	1	0	0	0	0	0	0		2	2	2	9	7	2	4	1	
327	1	2	2	1		2	5	5	5	5	5	5	5	2	4	1	2	1	0	0	0	0	0	0		2	1	4	3	6	1	4	1	
328	2	2	1	9		2	3	9	9	9	9	9	9	9	9	2	3	1	0	0	0	0	0	0		2	3	4	3	9	2	4	14	
329	2	2	2	3		1	5	9	9	5	9	9	9	3	9	2	2	0	0	0	0	0	0	0		1	3	4	3	2	2	3	9	
330	2	2	1	2		2	4	4	3	3	3	4	4	1	3	2	2	1	0	0	0	0	0	0		1	1	2	8	7	1	5	9	
331	1	3	2	9		1	3	3	3	3	3	4	3	4	4	1	4	1	0	0	0	0	0	0		1	1	1	2	8	1	4	5	
332	1	1	1	4		1	5	5	5	5	5	5	5	3	5	1	1	1	0	0	0	0	0	0		1	3	5	0	1	2	2	1	
333	1	1	2	1		1	5	4	4	4	2	4	5	4	4	1	3	1	0	0	0	0	0	0		1	1	1	1	8	1	5	1	
334	2	1	6	2		1	5	4	4	4	4	4	4	3	3	2	2	0	0	0	0	0	0	0		2	1	1	9	4	1	1	3	
335	2	1	1	2		1	4	5	5	5	2	5	5	2	4	2	2	0	0	0	0	1	0	0		3	3	0	11	1	2	4	13	
336	1	3	1	2		1	5	5	2	5	5	5	2	5	5	1	1	1	0	0	0	0	0	0		1	1	0	4	6	2	5	1	
337	1	4	2	1		1	4	5	4	5	5	4	5	4	5	1	1	1	0	0	0	0	0	0		1	1	2	7	7	2	4	1	
338	1	2	1	2		2	4	4	4	4	4	4	4	2	3	2	2	1	0	0	0	0	0	0		2	1	1	0	3	2	4	2	
339	2	2	2	6		1	4	5	4	5	3	3	3	4	5	1	2	0	0	0	0	0	1	0		1	1	7	0	6	1	5	1	
340	2	4	1	2		1	5	5	3	5	5	3	5	3	5	1	3	0	0	0	0	0	1	0		1	1	2	5	5	2	3	1	
341	1	2	1	9		2	9	9	9	9	9	9	9	9	9	2	2	1	0	0	0	0	0	0		1	1	4	3	4	2	3	10	
342	2	1	9	9		1	5	5	5	5	5	5	5	1	4	1	1	0	0	0	0	0	0	0		1	3	0	11	9	1	9	17	
343	1	2	2	1		1	9	9	9	9	9	9	9	5	5	1	9	0	0	0	0	0	0	0		1	1	3	4	6	1	5	1	
344	2	3	3	4		1	5	9	5	5	5	5	5	3	5	1	2	1	0	0	0	0	0	0		1	1	3	0	9	1	4	12	
345	1	1	2	3		2	4	5	4	5	5	5	4	4	4	9	9	0	0	0	0	0	0	0		9	9	5	0	6	1	3	1	
346	1	1	2	1		1	5	5	5	5	5	5	5	5	4	1	1	1	0	0	0	0	0	0		2	1	1	6	8	2	5	1	
347	1	1	1	6		2	2	1	2	1	2	1	2	2	3	1	1	1	0	0	0	0	0	0		2	1	2	0	7	2	5	1	
348	1	2	1	2		1	3	3	3	3	3	3	3	4	4	1	2	1	0	0	0	0	0	0		1	1	2	7	5	2	4	1	
349	1	1	1	2		1	5	5	9	9	9	4	9	5	5	1	1	1	0	0	0	0	0	0		9	1	6	2	4	2	4	2	
350	2	1	1	2		1	5	9	5	4	4	2	4	1	4	1	1	0	0	0	0	0	0	0		1	1	1	11	3	2	4	2	
351	1	3	3	4		1	5	5	4	5	4	4	4	4	5	1	2	0	0	0	0	0	0	0		1	1	1	5	9	1	4	6	
352	2	3	1	2		2	3	3	5	5	1	3	3	3	3	2	2	1	0	0	0	0	0	0		2	1	2	3	9	2	3	1	
353	1	3	1	2		1	5	5	5	5	3	4	4	4	4	1	2	0	1	0	0	0	0	0		1	1	2	6	3	2	5	1	
354	2	1	1	2		1	5	5	5	5	5	5	5	1	5	1	1	1	0	0	0	0	0	0		1	3	1	10	9	1	1	5	
355	1	1	1	2		1	5	9	5	5	9	9	5	5	5	1	2	1	0	0	0	0	0	0		1	1	2	7	8	2	3	1	
356	2	2	1	2		1	5	9	4	5	4	5	4	4	4	2	1	1	0	0	0	0	0	0		2	1	1	3	6	2	3	4	
357	2	2	2	1		1	5	5	5	5	1	5	5	5	5	1	1	0	1	1	1	1	0	0		1	1	2	0	2	2	5	1	
358	1	4	1	2		1	4	9	4	3	4	2	3	4	4	1	3	0	0	0	0	0	1	0		2	1	3	4	8	2	3	4	
359	2	1	1	2		1	5	5	5	5	5	5	5	5	5	2	1	1	0	0	0	0	0	0		1	3	0	10	2	2	1	17	
360	1	3	1	9		1	5	5	5	5	5	2	5	2	5	1	2	0	1	0	0	0	0	0		1	1	1	0	3	1	2	1	
361	2	1	2	1		1	5	5	5	5	9	5	5	5	5	1	1	1	0	0	0	0	0	0		1	1	0	7	8	2	4	1	
362	2	3	1	2		1	4	9	2	4	4	4	4	4	2	2	2	1	0	0	0	0	0	0		2	2	1	0	4	2	3	2	
363	2	3	1	6		2	4	3	4	4	4	3	4	1	2	3	3	1	0	0	0	0	0	0		2	3	2	5	3	2	2	1	
364	1	1	2	1		1	5	5	5	5	5	5	5	5	5	1	1	0	0	0	0	0	0	0		1	1	4	0	8	1	5	1	
365	1	1	2	1		1	5	5	5	5	5	5	5	3	5	1	1	1	0	0	0	0	0	0		1	1	1	7	8	2	5	1	
366	1	2	1	2		1	5	5	5	5	4	5	5	5	5	1	1	0	0	0	0	0	1	0		2	1	2	7	5	2	4	2	
367	1	3	2	6		1	3	9	2	9	2	9	2	4	4	1	1	0	0	0	0	0	0	0		1	1	2	7	6	2	5	1	
368	2	1	1	2		1	5	9	9	4	9	9	9	9	5	1	1	0	0	0	0	0	0	0		2	2	1	3	5	2	4	1	
369	1	1	1	5		1	4	9	4	4	3	9	4	3	4	1	1	1	0	0	0	0	0	0		1	1	4	0	9	1	4	1	
370	2	1	1	2		1	5	5	5	5	9	5	5	4	4	1	1	0	0	0	0	0	0	0		9	1	2	7	8	2	5	1	
371	2	2	1	2		1	5	9	9	9	5	9	5	3	4	1	3	1	0	0	0	0	0	0		1	1	2	5	8	2	5	1	
372	1	1	1	3		2	4	3	2	3	2	3	2	2	4	2	2	1	0	0	0	0	0	0		2	1	5	0	1	1	3	1	
373	1	1	2	1		1	5	5	9	5	9	9	5	5	3	1	1	0	0	0	0	0	0	0		1	1	3	0	7	2	5	1	
374	2	1	1	4		1	4	5	5	5	3	4	3	4	5	1	2	1	0	0	0	0	0	0		1	1	1	7	8	1	4	1	
375	2	1	1	2		1	4	5	4	5	4	5	4	2	2	1	2	1	0	0	0	0	0	0		2	1	1	0	4	1	4	4	
376	1	2	1	2		1	5	5	5	5	5	4	5	5	5	1	9	1	0	0	0	0	0	0		1	2	0	9	8	2	4	1	
377	1	1	1	2		1	5	5	3	5	3	5	5	3	3	2	2	0	0	0	0	0	1	0		2	1	2	0	7	2	5	3	
378	1	4	2	1		1	4	3	4	3	3	3	4	4	4	2	2	1	0	0	0	0	0	0		2	1	1	10	8	1	5	1	
379	2	1	1	2		1	5	9	5	5	5	9	5	3	3	1	1	1	0	0	0	0	0	0		1	1	2	7	3	2	5	1	
380	1	2	1	3		2	5	1	5	1	5	1	5	3	5	1	1	0	0	0	0	1	1	0		2	1	2	0	4	2	3	1	
381	2	1	1	2		1	5	5	5	5	5	5	5	1	3	2	2	1	0	0	0	0	0	0		1	1	1	8	8	1	2	4	
382	2	3	2	1		2	5	4	5	4	1	3	2	4	4	1	1	0	0	0	0	1	0	0		1	1	1	0	8	1	4	1	
383	1	3	1	2		1	3	2	1	4	1	3	1	1	2	1	2	1	0	0	0	0	0	0		9	1	3	2	8	1	5	1	
384	1	2	1	2		1	5	9	4	3	2	4	3	3	4	2	2	1	0	0	0	0	0	0		2	2	3	4	5	2	4	1	
385	2	1	2	3		1	9	9	9	9	9	9	9	5	5	1	1	0	0	0	0	0	0	0		1	1	2	2	6	1	5	9	
386	1	1	1	2		1	4	4	4	4	4	3	4	2	4	1	1	1	0	0	0	0	0	0		1	1	1	3	8	1	5	5	
387	2	1	2	9		1	9	5	5	5	9	5	5	9	5	1	1	0	0	0	0	0	0	0		2	1	2	0	4	2	3	7	
388	2	3	1	2		1	5	4	4	5	3	5	4	4	4	1	1	1	0	0	0	0	0	0		2	1	3	0	1	2	3	1	
389	2	2	1	9		2	3	1	9	9	9	9	9	3	9	2	2	1	0	0	0	0	0	0		2	2	4	0	9	1	4	1	
390	2	1	2	1		2	4	4	3	4	3	3	3	3	4	1	2	1	0	0	0	0	0	0		2	1	6	0	4	1	9	2	
391	2	1	1	3		2	4	2	4	1	3	4	2	3	4	2	1	0	0	0	0	0	1	0		2	2	1	6	8	2	5	17	
392	2	2	3	2		2	4	5	5	5	5	5	4	4	5	1	9	0	0	0	0	0	0	0		2	1	4	3	6	1	5	3	
393	1	1	1	6		1	4	3	4	3	2	2	4	3	4	1	2	1	0	0	0	0	0	0		1	1	1	5	6	2	4	3	
394	1	1	1	2		1	5	5	4	5	4	4	3	4	5	2	2	0	0	0	0	0	0	0		1	3	2	7	3	2	5	1	
395	2	2	1	9		3	3	3	3	3	3	3	3	1	1	3	3	1	0	0	0	0	0	0		3	3	1	10	1	1	1	12	
396	2	2	1	9		2	3	5	3	5	4	5	4	2	5	2	2	1	0	0	0	0	0	0		2	1	0	11	7	1	5	1	
397	1	2	3	2		1	3	2	3	4	3	3	3	3	4	1	2	0	0	0	0	0	1	0		1	1	1	0	6	2	4	14	
398	2	1	3	4		1	1	5	1	5	1	5	1	5	5	1	1	1	0	0	0	0	0	0		1	1	2	6	8	2	5	9	
399	1	3	1	6		1	3	9	2	9	3	3	3	1	3	2	2	1	0	0	0	0	0	0		2	3	1	11	4	2	1	13	
400	1	1	6	2		1	4	5	5	5	4	5	5	5	5	1	1	1	0	0	0	0	0	0		1	1	1	1	5	2	5	1	
401	2	4	1	2		1	4	9	2	5	3	5	3	3	4	1	2	1	0	0	0	0	0	0		2	2	5	0	3	2	3	2	
402	2	3	1	6		2	5	4	5	5	5	5	5	1	5	1	3	1	0	0	0	0	0	0		2	2	1	4	9	1	4	10	
403	1	1	6	1		2	4	5	5	5	4	9	4	3	5	1	1	1	0	0	0	0	0	0		2	1	1	10	6	2	4	1	
404	1	1	2	1		1	5	5	5	5	4	5	4	1	5	1	1	1	0	0	0	0	0	0		1	1	2	6	8	2	4	1	
405	1	1	1	2		2	4	3	3	5	3	5	3	4	4	1	2	0	0	0	0	0	0	0		2	1	1	0	1	2	5	2	
406	2	3	2	3		1	3	3	3	3	3	3	3	2	2	1	2	0	0	0	0	0	1	0		2	1	2	7	6	2	4	1	
407	1	2	2	1		2	4	5	4	4	4	4	4	3	3	1	2	1	0	0	0	0	0	0		1	1	9	0	8	2	5	2	
408	1	1	4	9		1	9	2	9	2	9	2	9	4	4	1	1	1	0	0	0	0	0	0		4	1	2	0	8	2	5	1	
409	2	3	2	3		2	4	1	9	2	3	4	3	1	2	2	1	0	0	1	0	0	0	0		1	2	1	6	1	2	5	1	
410	1	1	1	3		1	5	5	5	5	5	5	5	3	5	1	1	1	0	0	0	0	0	0		1	1	3	5	8	2	4	1	
411	2	1	6	1		1	5	2	5	5	3	5	5	5	5	1	3	1	0	0	0	0	0	0		1	1	1	0	3	1	5	1	
412	1	2	2	4		1	3	2	1	2	3	2	3	4	4	2	3	1	0	0	0	0	0	0		1	1	2	6	7	2	5	1	
413	2	1	1	2		1	1	1	1	3	4	3	4	3	3	1	3	1	0	0	0	0	0	0		1	1	1	10	5	1	5	1	
414	2	2	3	1		2	4	5	4	4	4	3	4	3	3	2	2	1	0	0	0	0	0	0		2	2	2	5	5	1	1	1	
415	1	3	1	2		1	5	4	5	5	4	5	5	4	5	1	1	1	0	0	0	0	0	0		1	1	1	9	7	2	5	1	
416	2	1	1	2		2	4	4	4	4	3	4	3	3	3	2	1	0	0	0	0	0	1	0		2	1	1	11	4	2	3	4	
417	2	2	1	2		1	5	9	5	9	9	9	9	5	5	1	3	1	0	0	0	0	0	0		1	1	3	4	6	1	4	1	
418	1	1	1	3		1	5	3	5	4	5	4	5	4	4	1	3	1	0	0	0	0	0	0		1	1	3	0	5	2	3	13	
419	1	1	1	2		1	5	9	3	9	3	5	4	4	4	1	1	1	0	0	0	0	0	0		2	1	4	3	3	2	4	17	
420	2	1	1	3		1	5	5	9	5	9	5	9	9	9	1	1	1	0	0	0	0	0	0		1	1	2	7	6	2	4	16	
421	2	1	1	7	재미	1	5	5	5	5	5	5	5	1	5	1	1	1	0	0	0	0	0	0		1	1	1	3	1	1	3	1	
422	1	1	4	6		1	5	5	5	5	5	5	5	5	5	1	1	1	0	0	0	0	0	0		2	1	2	5	6	2	2	4	
